keyword_text,letter,surah,verse,word_position,verse_reference,transliteration,english_meaning,arabic_text,highlighted_word
ش أ م,$,,,,(2:31:2),ādama,Adam,وَعَلَّمَ آدَمَ الْأَسْمَاءَ كُلَّهَا ثُمَّ عَرَضَهُمْ عَلَى الْمَلَائِكَةِ,آدَمَ
ش أ م,$,,,,(2:33:2),yāādamu,O Adam,قَالَ يَا آدَمُ أَنْبِئْهُمْ بِأَسْمَائِهِمْ,يَا آدَمُ
ش أ م,$,,,,(2:34:5),liādama,to Adam,وَإِذْ قُلْنَا لِلْمَلَائِكَةِ اسْجُدُوا لِآدَمَ فَسَجَدُوا إِلَّا إِبْلِيسَ,لِآدَمَ
ش أ م,$,,,,(2:35:2),yāādamu,O Adam,وَقُلْنَا يَا آدَمُ اسْكُنْ أَنْتَ وَزَوْجُكَ الْجَنَّةَ وَكُلَا مِنْهَا رَغَدًا,يَا آدَمُ
ش أ م,$,,,,(2:37:2),ādamu,Adam,فَتَلَقَّىٰ آدَمُ مِنْ رَبِّهِ كَلِمَاتٍ فَتَابَ عَلَيْهِ إِنَّهُ هُوَ التَّوَّابُ الرَّحِيمُ,آدَمُ
ش أ م,$,,,,(3:33:4),ādama,Adam,إِنَّ اللَّهَ اصْطَفَىٰ آدَمَ وَنُوحًا وَآلَ إِبْرَاهِيمَ وَآلَ عِمْرَانَ,آدَمَ
ش أ م,$,,,,(3:59:7),ādama,(of) Adam,إِنَّ مَثَلَ عِيسَىٰ عِنْدَ اللَّهِ كَمَثَلِ آدَمَ خَلَقَهُ مِنْ تُرَابٍ,آدَمَ
ش أ م,$,,,,(5:27:5),ādama,(of) Adam,وَاتْلُ عَلَيْهِمْ نَبَأَ ابْنَيْ آدَمَ بِالْحَقِّ إِذْ قَرَّبَا قُرْبَانًا فَتُقُبِّلَ,آدَمَ
ش أ م,$,,,,(7:11:9),liādama,to Adam,ثُمَّ قُلْنَا لِلْمَلَائِكَةِ اسْجُدُوا لِآدَمَ فَسَجَدُوا إِلَّا إِبْلِيسَ,لِآدَمَ
ش أ م,$,,,,(7:19:1),wayāādamu,And O Adam,وَيَا آدَمُ اسْكُنْ أَنْتَ وَزَوْجُكَ الْجَنَّةَ فَكُلَا مِنْ حَيْثُ شِئْتُمَا,وَيَا آدَمُ
ش أ م,$,,,,(7:26:2),ādama,(of) Adam,يَا بَنِي آدَمَ قَدْ أَنْزَلْنَا عَلَيْكُمْ لِبَاسًا يُوَارِي سَوْآتِكُمْ,آدَمَ
ش أ م,$,,,,(7:27:2),ādama,(of) Adam,يَا بَنِي آدَمَ لَا يَفْتِنَنَّكُمُ الشَّيْطَانُ كَمَا أَخْرَجَ أَبَوَيْكُمْ مِنَ الْجَنَّةِ,آدَمَ
ش أ م,$,,,,(7:31:2),ādama,(of) Adam,يَا بَنِي آدَمَ خُذُوا زِينَتَكُمْ عِنْدَ كُلِّ مَسْجِدٍ وَكُلُوا وَاشْرَبُوا,آدَمَ
ش أ م,$,,,,(7:35:2),ādama,(of) Adam,يَا بَنِي آدَمَ إِمَّا يَأْتِيَنَّكُمْ رُسُلٌ مِنْكُمْ يَقُصُّونَ عَلَيْكُمْ آيَاتِي,آدَمَ
ش أ م,$,,,,(7:172:6),ādama,(of) Adam,وَإِذْ أَخَذَ رَبُّكَ مِنْ بَنِي آدَمَ مِنْ ظُهُورِهِمْ ذُرِّيَّتَهُمْ,آدَمَ
